id,value
Basic Industries|Major Chemicals|Dow Inc. Common Stock(DOW)(42.820B),DOW
Basic Industries|Major Chemicals|DuPont de Nemours Inc. Common Stock(DD)(37.042B),DD
Basic Industries|Major Chemicals|Eastman Chemical Company Common Stock(EMN)(14.747B),EMN
Basic Industries|Major Chemicals|Element Solutions Inc. Common Stock(ESI)(4.255B),ESI
Basic Industries|Major Chemicals|FMC Corporation Common Stock(FMC)(13.601B),FMC
Basic Industries|Major Chemicals|Flexible Solutions International Inc. Common Stock (CDA)(FSI)(0.047B),FSI
Basic Industries|Major Chemicals|Flotek Industries Inc. Common Stock(FTK)(0.164B),FTK
Basic Industries|Major Chemicals|FutureFuel Corp.  Common shares(FF)(0.652B),FF
Basic Industries|Major Chemicals|GCP Applied Technologies Inc. Common Stock(GCP)(1.870B),GCP
Basic Industries|Major Chemicals|Gevo Inc. Common Stock(GEVO)(1.642B),GEVO
Basic Industries|Major Chemicals|Green Plains Inc. Common Stock(GPRE)(0.935B),GPRE
Basic Industries|Major Chemicals|Green Plains Partners LP Common Units(GPP)(0.227B),GPP
Basic Industries|Major Chemicals|Gulf Resources Inc. (NV) Common Stock(GURE)(0.046B),GURE
Basic Industries|Major Chemicals|Hexcel Corporation Common Stock(HXL)(4.208B),HXL
Basic Industries|Major Chemicals|Huntsman Corporation Common Stock(HUN)(6.241B),HUN
Basic Industries|Major Chemicals|Ingevity Corporation Common Stock(NGVT)(2.856B),NGVT
Basic Industries|Major Chemicals|Innospec Inc. Common Stock(IOSP)(2.384B),IOSP
Basic Industries|Major Chemicals|Internationa Flavors & Fragrances Inc. Common Stock(IFF)(34.305B),IFF
Basic Industries|Major Chemicals|International Flavors & Fragrances Inc. 6.00% Tangible Equity Units(IFFT)(0.000B),IFFT
Basic Industries|Major Chemicals|Kraton Corporation Common Stock(KRA)(1.173B),KRA
Basic Industries|Major Chemicals|Kronos Worldwide Inc Common Stock(KRO)(1.615B),KRO
Basic Industries|Major Chemicals|LSB Industries Inc. Common Stock(LXU)(0.117B),LXU
Basic Industries|Major Chemicals|Linde plc Ordinary Share(LIN)(131.177B),LIN
Basic Industries|Major Chemicals|Livent Corporation Common Stock(LTHM)(2.979B),LTHM
Basic Industries|Major Chemicals|Loop Industries Inc. Common Stock(LOOP)(0.443B),LOOP
Basic Industries|Major Chemicals|Luxfer Holdings PLC Ordinary Shares(LXFR)(0.502B),LXFR
Basic Industries|Major Chemicals|LyondellBasell Industries NV Ordinary Shares Class A (Netherlands)(LYB)(31.696B),LYB
Basic Industries|Major Chemicals|Methanex Corporation Common Stock(MEOH)(2.789B),MEOH
Basic Industries|Major Chemicals|Minerals Technologies Inc. Common Stock(MTX)(2.306B),MTX
Basic Industries|Major Chemicals|NL Industries Inc. Common Stock(NL)(0.245B),NL
Basic Industries|Major Chemicals|NewMarket Corp Common Stock(NEU)(4.245B),NEU
Basic Industries|Major Chemicals|Olin Corporation Common Stock(OLN)(4.437B),OLN
Basic Industries|Major Chemicals|Orion Engineered Carbons S.A Common Shares(OEC)(0.974B),OEC
Basic Industries|Major Chemicals|PQ Group Holdings Inc. Common Stock(PQG)(2.115B),PQG
Basic Industries|Major Chemicals|Quaker Chemical Corporation Common Stock(KWR)(5.087B),KWR
Basic Industries|Major Chemicals|REX American Resources Corporation(REX)(0.533B),REX
Basic Industries|Major Chemicals|Renewable Energy Group Inc. Common Stock(REGI)(3.678B),REGI
Basic Industries|Major Chemicals|Rogers Corporation Common Stock(ROG)(3.183B),ROG
Basic Industries|Major Chemicals|SINOPEC Shangai Petrochemical Company Ltd. Common Stock(SHI)(2.635B),SHI
Basic Industries|Major Chemicals|Sealed Air Corporation Common Stock(SEE)(6.648B),SEE
Basic Industries|Major Chemicals|Sensient Technologies Corporation Common Stock(SXT)(3.306B),SXT
Basic Industries|Major Chemicals|TOMI Environmental Solutions Inc. Common Stock(TOMZ)(0.086B),TOMZ
Basic Industries|Major Chemicals|Tantech Holdings Ltd. Common Stock(TANH)(0.056B),TANH
Basic Industries|Major Chemicals|Trinseo S.A. Ordinary Shares(TSE)(2.285B),TSE
Basic Industries|Major Chemicals|Tronox Holdings plc Ordinary Shares (UK)(TROX)(2.640B),TROX
Basic Industries|Major Chemicals|Valhi Inc. Common Stock(VHI)(0.495B),VHI
Basic Industries|Major Chemicals|Valvoline Inc. Common Stock(VVV)(4.438B),VVV
Basic Industries|Major Chemicals|Venator Materials PLC Ordinary Shares(VNTR)(0.415B),VNTR
Basic Industries|Major Chemicals|VerifyMe Inc. Common Stock(VRME)(0.032B),VRME
Basic Industries|Major Chemicals|VerifyMe Inc. Warrant(VRMEW)(0.000B),VRMEW
Basic Industries|Major Chemicals|W.R. Grace & Co. Common Stock(GRA)(3.924B),GRA
Basic Industries|Major Chemicals|WD-40 Company Common Stock(WDFC)(4.372B),WDFC
Basic Industries|Major Chemicals|Westlake Chemical Corporation Common Stock(WLK)(10.777B),WLK
Basic Industries|Major Chemicals|Westlake Chemical Partners LP Common Units representing limited partner interests(WLKP)(0.822B),WLKP
Basic Industries|Metal Fabrications,NA
Basic Industries|Metal Fabrications|Aqua Metals Inc. Common Stock(AQMS)(0.360B),AQMS
Basic Industries|Metal Fabrications|Constellium SE Ordinary Shares (France)(CSTM)(1.894B),CSTM
Basic Industries|Metal Fabrications|EnPro Industries Inc(NPO)(1.518B),NPO
Basic Industries|Metal Fabrications|L.B. Foster Company Common Stock(FSTR)(0.189B),FSTR
Basic Industries|Metal Fabrications|Olympic Steel Inc. Common Stock(ZEUS)(0.167B),ZEUS
Basic Industries|Metal Fabrications|Reliance Steel & Aluminum Co. Common Stock (DE)(RS)(8.091B),RS
Basic Industries|Metal Fabrications|Ryerson Holding Corporation Common Stock(RYI)(0.513B),RYI
Basic Industries|Military/Government/Technical,NA
Basic Industries|Military/Government/Technical|Aenza S.A.A. American Depositary Shares(AENZ)(0.392B),AENZ
Basic Industries|Military/Government/Technical|Construction Partners Inc. Class A Common Stock(ROAD)(1.393B),ROAD
Basic Industries|Military/Government/Technical|Fluor Corporation Common Stock(FLR)(2.319B),FLR
Basic Industries|Military/Government/Technical|Granite Construction Incorporated Common Stock(GVA)(1.468B),GVA
Basic Industries|Military/Government/Technical|Great Lakes Dredge & Dock Corporation Common Stock(GLDD)(0.954B),GLDD
Basic Industries|Military/Government/Technical|Jacobs Engineering Group Inc. Common Stock(J)(14.636B),J
Basic Industries|Military/Government/Technical|KBR Inc. Common Stock(KBR)(4.525B),KBR
Basic Industries|Military/Government/Technical|Orion Group Holdings Inc. Common(ORN)(0.173B),ORN
Basic Industries|Military/Government/Technical|Sterling Construction Company Inc Common Stock(STRL)(0.575B),STRL
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels),NA
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Centrus Energy Corp. Class A Common Stock(LEU)(0.297B),LEU
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Ciner Resources LP Common Units representing Limited Partner Interests(CINR)(0.268B),CINR
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Compass Minerals Intl Inc Common Stock(CMP)(2.159B),CMP
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Energy Fuels Inc Ordinary Shares (Canada)(UUUU)(0.694B),UUUU
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Galiano Gold Inc.(GAU)(0.262B),GAU
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Gold Standard Ventures Corporation Common Stock (Canada)(GSV)(0.236B),GSV
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Hecla Mining Company Common Stock(HL)(3.006B),HL
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Hecla Mining Company Preferred Stock(HL^B)(nan),HL^B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Intrepid Potash Inc Common Stock(IPI)(0.394B),IPI
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|MDU Resources Group Inc. Common Stock (Holding Company)(MDU)(5.671B),MDU
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Martin Marietta Materials Inc. Common Stock(MLM)(20.248B),MLM
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Smart Sand Inc. Common Stock(SND)(0.126B),SND
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Sociedad Quimica y Minera S.A. Common Stock(SQM)(13.952B),SQM
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Summit Materials Inc. Class A Common Stock(SUM)(2.625B),SUM
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Teck Resources Ltd Ordinary Shares(TECK)(11.376B),TECK
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|U.S. Silica Holdings Inc. Common Stock(SLCA)(0.781B),SLCA
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|United States Lime & Minerals Inc. Common Stock(USLM)(0.769B),USLM
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Vulcan Materials Company (Holding Company) Common Stock(VMC)(21.284B),VMC
Basic Industries|Miscellaneous,NA
Basic Industries|Miscellaneous|Heritage-Crystal Clean Inc. Common Stock(HCCI)(0.604B),HCCI
Basic Industries|Miscellaneous|Newater Technology Inc. Ordinary Shares(NEWA)(0.041B),NEWA
Basic Industries|Other Specialty Stores,NA
Basic Industries|Other Specialty Stores|A-Mark Precious Metals Inc. Common Stock(AMRK)(0.208B),AMRK
Basic Industries|Package Goods/Cosmetics,NA
Basic Industries|Package Goods/Cosmetics|Church & Dwight Company Inc. Common Stock(CHD)(20.499B),CHD
Basic Industries|Package Goods/Cosmetics|Conversion Labs Inc. Common Stock(CVLB)(0.701B),CVLB
Basic Industries|Package Goods/Cosmetics|Ecolab Inc. Common Stock(ECL)(59.886B),ECL
Basic Industries|Package Goods/Cosmetics|Procter & Gamble Company (The) Common Stock(PG)(318.965B),PG
Basic Industries|Package Goods/Cosmetics|Stepan Company Common Stock(SCL)(2.695B),SCL
Basic Industries|Package Goods/Cosmetics|Unilever PLC Common Stock(UL)(146.239B),UL
Basic Industries|Paints/Coatings,NA
Basic Industries|Paints/Coatings|Axalta Coating Systems Ltd. Common Shares(AXTA)(6.499B),AXTA
Basic Industries|Paints/Coatings|Ferro Corporation Common Stock(FOE)(1.243B),FOE
Basic Industries|Paints/Coatings|PPG Industries Inc. Common Stock(PPG)(32.192B),PPG
Basic Industries|Paints/Coatings|RPM International Inc. Common Stock(RPM)(11.020B),RPM
Basic Industries|Paper,NA
Basic Industries|Paper|Clearwater Paper Corporation Common Stock(CLW)(0.676B),CLW
Basic Industries|Paper|Domtar Corporation (NEW) Common Stock(UFS)(1.913B),UFS
Basic Industries|Paper|Glatfelter Corporation Common Stock(GLT)(0.683B),GLT
Basic Industries|Paper|International Paper Company Common Stock(IP)(18.806B),IP
Basic Industries|Paper|Mercer International Inc. Common Stock(MERC)(0.864B),MERC
Basic Industries|Paper|Neenah Inc. Common Stock(NP)(0.907B),NP
Basic Industries|Paper|Rayonier Advanced Materials Inc. Common Stock(RYAM)(0.524B),RYAM
Basic Industries|Paper|Resolute Forest Products Inc. Common Stock(RFP)(0.750B),RFP
Basic Industries|Paper|Schweitzer-Mauduit International Inc. Common Stock(SWM)(1.371B),SWM
Basic Industries|Paper|Suzano S.A. American Depositary Shares (each representing One Ordinary Share)(SUZ)(18.471B),SUZ
Basic Industries|Paper|Verso Corporation Common Stock(VRS)(0.422B),VRS
Basic Industries|Precious Metals,NA
Basic Industries|Precious Metals|Agnico Eagle Mines Limited Common Stock(AEM)(14.838B),AEM
Basic Industries|Precious Metals|Alamos Gold Inc. Class A Common Shares(AGI)(3.008B),AGI
Basic Industries|Precious Metals|Alexco Resource Corp Common Shares (Canada)(AXU)(0.390B),AXU
Basic Industries|Precious Metals|Almaden Minerals Ltd. Common Shares(AAU)(0.098B),AAU
Basic Industries|Precious Metals|Americas Gold and Silver Corporation Common Shares no par value(USAS)(0.330B),USAS
Basic Industries|Precious Metals|AngloGold Ashanti Limited Common Stock(AU)(8.649B),AU
Basic Industries|Precious Metals|Avino Silver & Gold Mines Ltd. Common Shares (Canada)(ASM)(0.119B),ASM
Basic Industries|Precious Metals|B2Gold Corp Common shares (Canada)(BTG)(5.022B),BTG
Basic Industries|Precious Metals|BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)(BHP)(191.695B),BHP
Basic Industries|Precious Metals|Barrick Gold Corporation Common Stock (BC)(GOLD)(36.132B),GOLD
Basic Industries|Precious Metals|Buenaventura Mining Company Inc.(BVN)(2.606B),BVN
Basic Industries|Precious Metals|Caledonia Mining Corporation Plc Common Shares(CMCL)(0.188B),CMCL
Basic Industries|Precious Metals|Cameco Corporation Common Stock(CCJ)(6.342B),CCJ
Basic Industries|Precious Metals|China Natural Resources Inc. Common Stock(CHNR)(0.106B),CHNR
Basic Industries|Precious Metals|Cleveland-Cliffs Inc. Common Stock(CLF)(8.281B),CLF
Basic Industries|Precious Metals|Coeur Mining Inc. Common Stock(CDE)(2.045B),CDE
Basic Industries|Precious Metals|Comstock Mining Inc. Common Stock(LODE)(0.159B),LODE
Basic Industries|Precious Metals|Corvus Gold Inc. Common Shares(KOR)(0.281B),KOR
Basic Industries|Precious Metals|DRDGOLD Limited American Depositary Shares(DRD)(0.802B),DRD
Basic Industries|Precious Metals|Denison Mines Corp Ordinary Shares (Canada)(DNN)(0.862B),DNN
Basic Industries|Precious Metals|EMX Royalty Corporation Common Shares (Canada)(EMX)(0.286B),EMX
Basic Industries|Precious Metals|Eldorado Gold Corporation Ordinary Shares(EGO)(2.119B),EGO
Basic Industries|Precious Metals|Endeavour Silver Corporation Ordinary Shares (Canada)(EXK)(0.907B),EXK
Basic Industries|Precious Metals|Equinox Gold Corp. Common Shares(EQX)(2.199B),EQX
Basic Industries|Precious Metals|Excellon Resources Inc. Common Shares(EXN)(0.099B),EXN
Basic Industries|Precious Metals|Ferroglobe PLC Ordinary Shares(GSM)(0.536B),GSM
Basic Industries|Precious Metals|First Majestic Silver Corp. Ordinary Shares (Canada)(AG)(3.876B),AG
Basic Industries|Precious Metals|Fortuna Silver Mines Inc Ordinary Shares (Canada)(FSM)(1.356B),FSM
Basic Industries|Precious Metals|Franco-Nevada Corporation(FNV)(21.635B),FNV
Basic Industries|Precious Metals|Freeport-McMoRan Inc. Common Stock(FCX)(49.844B),FCX
Basic Industries|Precious Metals|Fury Gold Mines Limited Common Shares(FURY)(0.172B),FURY
Basic Industries|Precious Metals|Gatos Silver Inc. Common Stock(GATO)(0.788B),GATO
Basic Industries|Precious Metals|Gold Fields Limited American Depositary Shares(GFI)(7.659B),GFI
Basic Industries|Precious Metals|Gold Resource Corporation Common Stock(GORO)(0.199B),GORO
Basic Industries|Precious Metals|GoldMining Inc. Common Shares(GLDG)(0.247B),GLDG
Basic Industries|Precious Metals|Golden Minerals Company Common Stock(AUMN)(0.126B),AUMN
Basic Industries|Precious Metals|Golden Star Resources Ltd Common Stock(GSS)(0.358B),GSS
Basic Industries|Precious Metals|Great Panther Mining Limited Ordinary Shares (Canada)(GPL)(0.353B),GPL
Basic Industries|Precious Metals|Harmony Gold Mining Company Limited(HMY)(2.252B),HMY
Basic Industries|Precious Metals|Hudbay Minerals Inc. Ordinary Shares (Canada)(HBM)(1.939B),HBM
Basic Industries|Precious Metals|Hycroft Mining Holding Corporation  Warrant(HYMCW)(0.000B),HYMCW
Basic Industries|Precious Metals|Hycroft Mining Holding Corporation Class A Common Stock(HYMC)(0.346B),HYMC
Basic Industries|Precious Metals|Hycroft Mining Holding Corporation Warrant(HYMCZ)(0.000B),HYMCZ
Basic Industries|Precious Metals|Hycroft Mining Holding Corporation Warrants(HYMCL)(0.000B),HYMCL
Basic Industries|Precious Metals|Iamgold Corporation Ordinary Shares(IAG)(1.507B),IAG
Basic Industries|Precious Metals|Integra Resources Corp. Common Shares(ITRG)(0.184B),ITRG
Basic Industries|Precious Metals|International Tower Hill Mines Ltd. Ordinary Shares (Canada)(THM)(0.242B),THM
Basic Industries|Precious Metals|Kinross Gold Corporation Common Stock(KGC)(8.431B),KGC
Basic Industries|Precious Metals|Kirkland Lake Gold Ltd. Common Shares(KL)(9.704B),KL
Basic Industries|Precious Metals|Lithium Americas Corp. Common Shares(LAC)(2.353B),LAC
Basic Industries|Precious Metals|MAG Silver Corporation Ordinary Shares(MAG)(1.825B),MAG
Basic Industries|Precious Metals|MP Materials Corp. Common Stock(MP)(7.230B),MP
Basic Industries|Precious Metals|Maverix Metals Inc. Common Shares(MMX)(0.684B),MMX
Basic Industries|Precious Metals|McEwen Mining Inc. Common Stock(MUX)(0.533B),MUX
Basic Industries|Precious Metals|Mesabi Trust Common Stock(MSB)(0.364B),MSB
Basic Industries|Precious Metals|Metalla Royalty & Streaming Ltd. Common Shares(MTA)(0.382B),MTA
Basic Industries|Precious Metals|New Gold Inc.(NGD)(1.042B),NGD
Basic Industries|Precious Metals|Newmont Corporation(NEM)(46.081B),NEM
Basic Industries|Precious Metals|Nexa Resources S.A. Common Shares(NEXA)(1.261B),NEXA
Basic Industries|Precious Metals|Nexgen Energy Ltd. Common Shares(NXE)(1.405B),NXE
Basic Industries|Precious Metals|Northern Dynasty Minerals Ltd. Common Stock(NAK)(0.398B),NAK
Basic Industries|Precious Metals|Novagold Resources Inc.(NG)(2.982B),NG
Basic Industries|Precious Metals|Orla Mining Ltd. Common Shares(ORLA)(0.863B),ORLA
Basic Industries|Precious Metals|Osisko Gold Royalties Ltd Common Shares(OR)(1.853B),OR
Basic Industries|Precious Metals|Pan American Silver Corp. Common Stock(PAAS)(6.734B),PAAS
Basic Industries|Precious Metals|Paramount Gold Nevada Corp. Common Stock(PZG)(0.043B),PZG
Basic Industries|Precious Metals|Platinum Group Metals Ltd. Ordinary Shares (Canada)(PLG)(0.361B),PLG
Basic Industries|Precious Metals|Polymet Mining Corporation Ordinary Shares (Canada)(PLM)(0.437B),PLM
Basic Industries|Precious Metals|Pretium Resources Inc. Ordinary Shares (Canada)(PVG)(1.927B),PVG
Basic Industries|Precious Metals|Rio Tinto Plc Common Stock(RIO)(109.847B),RIO
Basic Industries|Precious Metals|Royal Gold Inc. Common Stock(RGLD)(7.100B),RGLD
Basic Industries|Precious Metals|SSR Mining Inc. Common Stock(SSRM)(3.314B),SSRM
Basic Industries|Precious Metals|Sandstorm Gold Ltd. Ordinary Shares (Canada)(SAND)(1.250B),SAND
Basic Industries|Precious Metals|Seabridge Gold Inc. Ordinary Shares (Canada)(SA)(1.348B),SA
Basic Industries|Precious Metals|Sierra Metals Inc. Common Stock(SMTS)(0.448B),SMTS
Basic Industries|Precious Metals|SilverCrest Metals Inc. Common Shares(SILV)(1.141B),SILV
Basic Industries|Precious Metals|Silvercorp Metals Inc. Common Shares(SVM)(1.047B),SVM
Basic Industries|Precious Metals|Solitario Zinc Corp. Common Stock(XPL)(0.062B),XPL
Basic Industries|Precious Metals|Southern Copper Corporation Common Stock(SCCO)(57.602B),SCCO
Basic Industries|Precious Metals|Tanzanian Gold Corporation Common Stock(TRX)(0.197B),TRX
Basic Industries|Precious Metals|Taseko Mines Ltd. Common Stock(TGB)(0.480B),TGB
Basic Industries|Precious Metals|Trilogy Metals Inc. Common Stock(TMQ)(0.356B),TMQ
Basic Industries|Precious Metals|Turquoise Hill Resources Ltd. Ordinary Shares(TRQ)(3.010B),TRQ
Basic Industries|Precious Metals|U.S. Gold Corp. Common Stock(USAU)(0.082B),USAU
Basic Industries|Precious Metals|Ur Energy Inc Common Shares (Canada)(URG)(0.230B),URG
Basic Industries|Precious Metals|Uranium Energy Corp. Common Stock(UEC)(0.430B),UEC
Basic Industries|Precious Metals|VALE S.A.  American Depositary Shares Each Representing one common share(VALE)(92.236B),VALE
